Organisation,Environment,Application,Status,vCore Usage,Last Updated,Mule Message in last 30 days
HR,na-prod,bel-na-gbl-gmft-sys-v1-prd,STARTED,0.1,2023-01-28 20:07:45.386000,0
Supply Chain,na-test,bel-na-gbl-replenish-po-prc-v1-tst,STARTED,0.1,2023-02-14 05:52:56.043000,3
Carglass DE,eu-test,bel-eu-gbl-asn-prc-v1-tst,STARTED,0.1,2023-02-15 10:50:52.095000,3560619
Obrien AU,apac-prod,bel-apac-au-fsl-prc-v1-prd,STARTED,0.1,2023-02-10 17:13:28.707000,136
C4E,na-prod,bel-na-c4e-pipeline-test-exp-v1-prd,UNDEPLOYED,0.1,2023-01-29 05:47:25.033000,0
Safelite US,na-test,bel-na-sfl-transferorders-prc-v1-tst,STARTED,0.4,2023-02-16 13:52:31.529000,276
Finance,na-dev,bel-na-gbl-bip-report-ofcf-sys-v2-dev,STARTED,0.1,2023-02-09 13:40:23.989000,212
Carglass DE,eu-test,bel-eu-de-oracle-ebs-sys-v1-tst,STARTED,0.1,2023-02-15 10:54:55.798000,1835887
Obrien AU,apac-prod,bel-apac-au-fsl-sys-v1-prd,STARTED,0.1,2023-02-15 16:02:08.548000,158
C4E,na-prod,bel-na-c4e-fsl-techassigned-prc-v1-prd,UNDEPLOYED,0.1,2023-01-29 06:00:45.507000,0
Safelite US,na-test,bel-na-sfl-salesorder-prc-v1-tst,STARTED,0.4,2023-01-26 15:42:27.177000,0
Finance,na-dev,bel-na-gbl-coa-extract-prc-v1-dev,STARTED,0.1,2023-02-06 10:57:19.071000,0
Obrien AU,apac-prod,bel-apac-au-taskupdate-prc-v1-prd,STARTED,0.1,2023-02-15 15:17:03.893000,0
C4E,na-prod,bel-na-sfl-fsl-techassignment-prc-v1-prd,UNDEPLOYED,0.1,2023-01-29 06:02:17.718000,0
Safelite US,na-test,bel-na-sfl-purchaseorder-prc-v1-tst,STARTED,0.2,2023-01-26 15:56:15.746000,135
Finance,na-dev,bel-na-gbl-ap-invoice-prc-v1-dev,STARTED,0.1,2023-02-15 16:01:59.563000,738
C4E,na-prod,bel-na-c4e-pipeline-test1-exp-prd,UNDEPLOYED,0.1,2023-01-29 06:22:14.556000,0
Obrien AU,apac-prod,bel-apac-au-mscrm-sys-v1-prd,STARTED,0.1,2023-02-15 12:04:47.110000,0
Safelite US,na-test,bel-na-sfl-sqs-sys-v1-tst,STARTED,0.4,2023-01-26 16:01:41.554000,65134
Carglass DE,eu-dev,network-connectivity-test-api,UNDEPLOYED,0.1,2023-01-26 18:14:35.245000,0
Finance,na-dev,bel-na-gbl-bulk-import-ofcf-sys-v2-dev,STARTED,0.1,2023-02-15 12:09:39.099000,1195
C4E,na-prod,bel-na-c4e-pipeline-test1-exp-v1-prd,STARTED,0.1,2023-01-29 06:38:36.166000,0
HR,eu-dev,bel-eu-gbl-hr-employee-exp-v1-dev,STARTED,0.1,2023-01-26 23:26:25.111000,747
Obrien AU,apac-prod,bel-apac-au-hellomigration-exp-v1-prd,STARTED,0.1,2023-02-16 08:19:18.575000,2
Carglass DE,eu-dev,bel-eu-de-proxytest-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 18:26:13.622000,0
Safelite US,na-test,bel-na-sfl-shipment-prc-v1-tst,STARTED,0.4,2023-02-08 10:35:51.675000,51780
Finance,na-dev,tango-poc-dev,UNDEPLOYED,0.1,2023-01-25 07:07:53.830000,0
HR,eu-dev,bel-eu-gbl-gmft-sys-v1-dev,STARTED,0.1,2023-01-26 23:33:31.525000,0
C4E,na-prod,bel-na-c4e-imdm-product-exp-v1-prd,STARTED,0.1,2023-01-29 07:02:31.613000,0
Carglass DE,eu-dev,bel-eu-de-templatetest-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 18:40:54.959000,0
Safelite US,na-test,bel-na-sfl-highjump-sys-v1-tst,STARTED,0.4,2023-02-16 13:48:30.396000,12064
Finance,na-dev,bel-na-gbl-ap-remittance-prc-v1-dev,STARTED,0.1,2023-02-16 09:49:30.963000,197
HR,eu-dev,bel-eu-gbl-hr-employee-sys-v1-dev,STARTED,0.1,2023-01-16 14:52:40.598000,39
C4E,na-prod,bel-na-c4e-hello-world-1234-exp-v1-prd,STARTED,0.1,2023-01-29 07:15:53.099000,0
Safelite US,na-test,bel-na-sfl-origami-sys-v1-tst,STARTED,0.1,2023-01-26 17:26:40.264000,0
Carglass DE,eu-dev,bel-eu-de-mdm-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 18:48:15.909000,0
Finance,na-dev,bel-na-gbl-subscriber-coa-prc-v1-dev,UNDEPLOYED,0.1,2023-02-13 07:28:14.964000,0
Customer,na-test,bel-na-gbl-int-exp-v1-tst,STARTED,0.1,2023-01-24 10:54:56.830000,0
Obrien AU,apac-test,bel-apac-au-click-sys-v1-tst,UNDEPLOYED,0.1,2023-02-15 10:14:57.766000,30790
HR,eu-dev,bel-eu-gbl-hr-tna-sys-v1-dev,STARTED,0.1,2023-02-14 10:47:17.372000,80175
C4E,na-prod,bel-na-c4e-imdm-location-sys-v1-prd,STARTED,0.1,2023-02-08 14:07:15.185000,410
Carglass DE,eu-dev,bel-eu-gbl-bosch-core-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:02:35.282000,0
Safelite US,na-test,bel-na-sfl-alight-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 17:35:44.637000,0
Finance,na-dev,bel-na-gbl-ofcf-reference-data-sys-v1-dev,STARTED,0.1,2023-02-02 07:37:12.070000,520
Customer,na-test,bel-na-gbl-sfdc-shifts-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 11:04:53.689000,0
Supply Chain,na-dev,bel-na-gbl-supplier-data-prc-v1-dev,STARTED,0.1,2023-02-13 12:00:55.628000,1
Obrien AU,apac-test,bel-apac-au-scheduling-resource-prc-v1-tst,STARTED,0.1,2023-02-14 18:13:16.699000,68794
HR,eu-dev,bel-eu-gbl-hr-tna-prc-v1-dev,STARTED,0.1,2023-02-15 10:47:52.376000,27978
Carglass DE,eu-dev,bel-eu-de-mdm-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:06:13.779000,0
Safelite US,na-test,bel-na-sfl-biww-sys-v1-tst,STARTED,0.1,2023-01-26 17:48:18.309000,0
Finance,na-dev,bel-na-gbl-bip-report-ofcf-sys-v1-dev,UNDEPLOYED,0.1,2023-01-25 07:54:04.010000,0
Customer,na-test,bel-na-gbl-sfdc-eventbus-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 11:56:54.115000,0
Supply Chain,na-dev,bel-na-gbl-org-inventory-ofcf-sys-v1-dev,STARTED,0.1,2023-01-23 10:35:38.128000,0
Obrien AU,apac-test,bel-apac-au-apt-event-publisher-exp-v1-tst,STARTED,0.1,2023-02-15 15:30:56.343000,33210
Carglass DE,eu-dev,bel-eu-gbl-bosch-core-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:20:57.867000,0
HR,eu-dev,bel-eu-gbl-hr-benefit-sys-v1-dev,STARTED,0.1,2023-01-27 00:19:57.590000,0
Safelite US,na-test,bel-na-sfl-adp-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 17:58:42.275000,0
Finance,na-dev,bel-na-gbl-ar-receipts-prc-v1-dev,STARTED,0.1,2023-02-15 08:38:25.845000,105
Supply Chain,na-dev,bel-na-gbl-cycle-count-prc-v1-dev,UNDEPLOYED,0.1,2023-01-23 10:46:43.861000,0
Customer,na-test,bel-na-gbl-subscriber-products-prc-v1-tst,UNDEPLOYED,0.1,2023-01-24 12:18:05.963000,0
Obrien AU,apac-test,bel-apac-au-fsl-sys-v1-tst,STARTED,0.1,2023-02-15 15:36:59.055000,50339
HR,eu-dev,bel-eu-gbl-hr-benefit-prc-v1-dev,STARTED,0.1,2023-01-27 00:27:48.756000,0
C4E,eu-dev,belron-first-sapi-eu-dev,UNDEPLOYED,0.1,2023-01-26 01:06:23.911000,0
Carglass DE,eu-dev,bel-eu-de-calibration-mock-sys-v1-dev,STARTED,0.1,2023-01-26 19:33:06.455000,0
Safelite US,na-test,bel-na-sfl-employee-prc-v1-tst,STARTED,0.2,2023-02-15 07:15:01.856000,0
Finance,na-dev,bel-na-gbl-ar-invoice-prc-v1-dev,STARTED,0.1,2023-02-13 11:04:12.104000,29
Supply Chain,na-dev,bel-na-gbl-physical-inventory-prc-v1-dev,UNDEPLOYED,0.1,2023-01-23 10:52:45.758000,0
Obrien AU,apac-test,bel-apac-au-fsl-prc-v1-tst,STARTED,0.1,2023-02-10 09:34:22.507000,35822
Customer,na-test,bel-na-gbl-subscriber-locations-prc-v1-tst,UNDEPLOYED,0.1,2023-01-24 12:22:42.253000,0
HR,eu-dev,bel-eu-gbl-ftps-sys-v1-dev,STARTED,0.1,2023-01-27 00:37:25.442000,0
Carglass DE,eu-dev,bel-eu-de-mdm-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:38:12.054000,0
C4E,eu-dev,belron-first-xapi-eu-dev,UNDEPLOYED,0.1,2023-01-26 01:25:52.957000,0
Safelite US,na-test,bel-na-sfl-vanguard-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 18:18:41.124000,0
Finance,na-dev,bel-na-gbl-collection-notes-prc-v1-dev,STARTED,0.1,2023-01-25 09:39:18.079000,0
Supply Chain,na-dev,bel-na-gbl-physical-inventory-exp-v1-dev,UNDEPLOYED,0.1,2023-01-23 11:04:51.828000,0
Obrien AU,apac-test,bel-apac-au-click-schedule-exp-v1-tst,STARTED,0.1,2023-02-14 11:46:18.239000,94
Customer,na-test,bel-na-gbl-int-exp-v3-tst,STARTED,0.1,2023-01-24 12:53:44.685000,0
C4E,eu-dev,bel-eu-gbl-helloworld-exp-v1-dev,STARTED,0.1,2023-01-26 02:03:20.136000,0
HR,eu-dev,bel-eu-gbl-hr-payroll-prc-v1-dev,STARTED,0.1,2023-02-14 11:29:23.816000,1042
Carglass DE,eu-dev,bel-eu-de-calibration-job-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:43:10.632000,0
Safelite US,na-test,bel-na-sfl-imagewear-sys-v1-tst,STARTED,0.1,2023-01-26 18:35:23.823000,0
Finance,na-dev,bel-na-gbl-open-ar-prc-v1-dev,STARTED,0.1,2023-01-25 09:48:55.776000,0
Supply Chain,na-dev,bel-na-gbl-subscriber-supplier-prc-v1-dev,STARTED,0.1,2023-02-15 15:42:16.106000,253
Obrien AU,apac-test,bel-apac-au-mscrm-sys-v1-tst,STARTED,0.1,2023-02-12 19:38:27.215000,34836
Customer,na-test,bel-na-gbl-sfdc-location-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 13:00:13.573000,0
C4E,eu-dev,bel-eu-gbl-helloworld-prc-v1-dev,STARTED,0.1,2023-01-26 02:22:28.183000,0
Carglass DE,eu-dev,bel-eu-de-calibration-exp-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:51:05.329000,0
Safelite US,na-test,bel-na-sfl-paylogix-sys-v1-tst,UNDEPLOYED,0.1,2023-01-26 18:40:45.718000,0
Finance,na-dev,bel-na-gbl-ledger-balance-prc-v1-dev,STARTED,0.1,2023-02-13 10:15:10.398000,0
Supply Chain,na-dev,activemq-sc-dev,UNDEPLOYED,0.1,2023-01-23 11:25:34.389000,0
Customer,na-test,bel-na-gbl-sfdc-appointment-sys-v1-tst,UNDEPLOYED,0.1,2023-01-24 13:11:40.571000,0
Obrien AU,apac-test,bel-apac-au-taskupdate-prc-v1-tst,STARTED,0.1,2023-02-15 12:58:33.314000,34108
C4E,eu-dev,bel-eu-gbl-helloworld-sys-v1-dev,UNDEPLOYED,0.1,2023-01-26 02:22:25.652000,0
Carglass DE,eu-dev,bel-eu-gbl-calibration-prc-v1-dev,UNDEPLOYED,0.1,2023-01-26 19:58:49.560000,0
HR,na-test,bel-na-gbl-gmft-sys-v1-tst,STARTED,0.1,2023-01-27 03:43:59.991000,6052
Safelite US,na-test,bel-na-sfl-reed-sys-v1-tst,STARTED,0.1,2023-01-26 18:55:54.709000,0
Finance,na-dev,bel-na-gbl-lease-management-prc-v1-dev,STARTED,0.1,2023-01-25 10:25:34.015000,0
Customer,na-test,bel-na-gbl-service-validate-exp-v1-tst,STARTED,0.1,2023-01-24 14:06:33.917000,0
Supply Chain,na-dev,bel-na-gbl-supplier-capacity-prc-v1-dev,STARTED,0.1,2023-01-23 13:22:30.341000,0
Obrien AU,apac-test,bel-apac-au-demo-exp-v1-tst,STARTED,0.1,2023-01-25 20:27:51.950000,0
C4E,eu-dev,bel-eu-c4e-amazon-exp-v1-dev,STARTED,0.1,2023-01-26 05:23:47.882000,0
Carglass DE,eu-dev,workdayemailupdate,STARTED,0.1,2023-01-26 20:45:23.557000,719
